"id";"name";"host_id";"host_name";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"last_review";"reviews_per_month";"calculated_host_listings_count";"availability_365";"number_of_reviews_ltm"
"36687169";"Cozzy luminous apartment in BA";9009158;"Paula Cecilia";"Retiro";-34.59711;-58.38617;"Entire home/apt";59862.0;2;10;"2024-12-30";2.29;1;337;10
"36702037";"Amplio departamento en el corazÃ³n de Buenos Aires";128581612;"MarÃ­a Fernanda";"Monserrat";-34.612266540527344;-58.37733840942383;"Entire home/apt";28356.0;2;30;"2024-12-31";0.45;1;359;12
"36719856";"Buenos Aires PanorÃ¡mico.";275992448;"Javier";"Caballito";-34.61645;-58.44769;"Entire home/apt";36758.0;4;39;"2025-01-04";0.59;1;78;6
"36723751";"Cozy apartment in downtown!";7404767;"Federico";"San Nicolas";-34.6026;-58.39027;"Entire home/apt";24155.0;4;32;"2024-12-20";0.88;1;0;6
"36727252";"Madreselva: experience Buenos Aires!";14565953;"Karina";"San Telmo";-34.6166;-58.37637;"Entire home/apt";32494.0;2;33;"2024-12-05";0.49;7;230;9
"36729237";"Modern Apt. Nice view @Central Recoleta A12H";20905593;"Lucas";"Recoleta";-34.5838;-58.39897;"Entire home/apt";55357.0;1;86;"2025-01-02";1.28;9;277;8
"36736560";"Departamento moderno en Recoleta";74057925;"Daily";"Retiro";-34.58704;-58.3831;"Entire home/apt";33607.0;1;58;"2023-11-13";0.86;1;176;0
"36761546";"Monoambiente. BELGRANO. Pileta. Seguridas 24 hs.";276319744;"Silvina";"Belgrano";-34.56341;-58.45559;"Entire home/apt";31507.0;2;97;"2025-01-09";1.44;1;93;19
"36799031";"Your choice in BA: Studio Apt. Palermo Hollywood";11904407;"Grace";"Palermo";-34.57696;-58.42684;"Entire home/apt";50410.0;3;47;"2024-09-23";0.7;3;239;4
"36802782";"I PREMIUM MELO STUDIO, Piscina y gran ubicaciÃ³n!!";310734662;"Mariana";"Recoleta";-34.59129;-58.39488;"Entire home/apt";39604.0;2;102;"2025-01-17";1.52;4;352;23
"36834233";"Ãnico departamento en Recoleta";113392253;"Jeronimo";"Recoleta";-34.58834;-58.40585;"Entire home/apt";73515.0;2;9;"2025-01-02";0.13;4;2;2
"36843575";"Recoleta, cÃ³modo y prÃ¡ctico.";534589558;"Maria Victoria";"Recoleta";-34.58485227227808;-58.40654698072072;"Entire home/apt";42009.0;2;7;"2024-12-22";0.44;1;90;4
"36845799";"Moderno, confortable y luminoso departamento.";10498054;"Alex";"Colegiales";-34.5695;-58.45455;"Entire home/apt";30456.0;3;66;"2025-01-14";0.99;2;77;11
"36861904";"Milano en Buenos Aires";28734758;"Fabio";"San Nicolas";-34.60383;-58.38833;"Entire home/apt";17686.0;3;19;"2025-01-11";0.28;5;326;3
"36876626";"Calido y amplio depart. en Palermo Hollywood";286704424;"Debora";"Chacarita";-34.58628;-58.44606;"Entire home/apt";35707.0;2;37;"2024-04-01";0.56;1;27;1
"36879561";"Lucky septiembre departamento en promociÃ³n.0";29883414;"Isabel";"Balvanera";-34.60977;-58.41275;"Entire home/apt";38259.0;2;29;"2024-12-23";0.44;1;97;1
"36880748";"Cuarto en alquiler con mucho sol, patio y  terraza";193673929;"Mar";"Villa Crespo";-34.60021;-58.44757;"Private room";15000.0;4;7;"2022-11-06";0.11;1;87;0
